bucket,count
0,7520
1,44337
2,7050
3,1376
4,767
5,8362
6,359
7,1068
8,878
9,293
10,1392
11,197
12,270
13,235
14,149
15,437
16,656
17,4733
18,34796
19,4204
20,1585
21,845
22,921
23,239
24,978
25,1099
26,167
27,121
28,228
29,164
30,183
31,163
32,77
33,77
34,115
35,165
36,217
37,257
38,222
39,70
40,24
41,18
42,11
43,18
44,23
45,26
46,20
47,19
48,165
49,16
50,27
51,19
52,13
53,13
54,20
55,20
56,63
57,129
58,248
59,288
60,152
61,44
62,7
63,6
64,8
65,3
66,7
67,9
68,10
69,21
70,13
71,2
72,5
73,2
74,5
75,5
76,1
77,7
78,6
79,2
80,9
81,8
82,7
83,17
84,23
85,14
86,14
87,12
88,6
89,10
90,17
91,21
92,17
93,19
94,24
95,29
96,30
97,30
98,27
99,24
100,15
101,9
102,8
103,5
104,3
105,1
106,1
107,2
108,0
109,3
110,1
111,1
112,4
113,2
114,4
115,5
116,1
117,2
118,2
119,2
120,2
121,4
122,4
123,6
124,4
125,1
126,5
127,7
128,1
129,5
130,3
131,3
132,1
133,0
134,2
135,2
136,0
137,2
138,0
139,4
140,2
141,0
142,2
143,1
144,1
145,4
146,5
147,3
148,1
149,1
150,1
151,2
152,0
153,2
154,0
155,2
156,1
157,3
158,5
159,5
160,1231
161,7
162,0
163,1
164,1
165,3
166,4
167,4
168,6
169,6
170,3
171,2
172,7
173,7
174,5
175,1
176,4
177,1
178,1
179,1
180,1
181,0
182,0
183,0
184,1
185,1
186,2
187,1
188,0
189,0
190,0
191,0
192,1
193,1
194,0
195,0
196,2
197,7
198,1
199,5
200,39
201,1
202,1
203,0
204,0
205,3
206,0
207,3
208,1
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,1
217,0
218,1
219,1
220,0
221,5
222,10
223,4
224,0
225,3
226,1
227,0
228,1
229,2
230,2
231,0
232,2
233,0
234,2
235,11
236,33
237,13
238,8
239,3
240,2
241,2
242,5
243,11
244,12
245,1
246,8
247,2
248,5
249,1
250,2
251,2
252,1
253,1
254,3
255,3
256,2
257,4
258,2
259,2
260,4
261,5
262,2
263,3
264,1
265,6
266,5
267,10
268,4
269,6
270,5
271,5
272,9
273,6
274,10
275,5
276,2
277,2
278,1
279,1
280,1
281,0
282,1
283,0
284,0
285,0
286,2
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,1
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,1
305,0
306,1
307,0
308,0
309,1
310,2
311,1
312,4
313,0
314,1
315,2
316,4
317,6
318,2
319,1
320,9
321,6
322,5
323,7
324,8
325,14
326,13
327,11
328,19
329,10
330,20
331,18
332,14
333,28
334,34
335,24
336,35
337,38
338,36
339,55
340,52
341,54
342,72
343,63
344,73
345,69
346,61
347,86
348,62
349,58
350,60
351,53
352,52
353,45
354,32
355,44
356,44
357,38
358,26
359,31
360,14
361,15
362,3
363,5
364,2
365,1
366,0
367,1
368,0
369,0
370,1
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,1
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,1
398,0
399,0
400,0
401,0
402,0
403,1
404,1
405,3
406,1
407,1
408,2
409,1
410,0
411,2
412,1
413,2
414,0
415,1
416,1
417,3
418,7
419,9
420,5
421,7
422,5
423,8
424,10
425,13
426,5
427,9
428,8
429,3
430,3
431,2
432,3
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,8
